,count,mean,std,min,25%,50%,75%,max
aqi,1080.0,112.1138888888889,25.74093849157287,63.0,92.0,112.0,134.0,154.0
pm10,1080.0,51.66842592592593,24.550703209966652,11.3,35.55,46.75,64.3,247.7
hour,1080.0,11.5,6.925393495644042,0.0,5.75,11.5,17.25,23.0
day_of_week,1080.0,2.9555555555555557,2.0552756922481525,0.0,1.0,3.0,5.0,6.0
day_of_month,1080.0,17.4,8.03532515938548,1.0,12.0,18.0,24.0,31.0
month,1080.0,5.4,5.391374018660071,1.0,1.0,1.0,12.0,12.0
hour_sin,1080.0,-1.8092523364261812e-17,0.707434372948938,-1.0,-0.7071067811865472,6.123233995736766e-17,0.7071067811865475,1.0
hour_cos,1080.0,-5.5099957518433694e-17,0.707434372948938,-1.0,-0.7071067811865476,-6.123233995736766e-17,0.7071067811865475,1.0
day_sin,1080.0,-6.579099405186113e-18,0.7030586574566815,-0.9749279121818236,-0.7818314824680299,0.0,0.7818314824680298,0.9749279121818236
day_cos,1080.0,0.04993288008261035,0.7100279607011365,-0.9009688679024191,-0.900968867902419,-0.22252093395631434,0.6234898018587336,1.0
is_night,1080.0,0.25,0.4332133100576682,0.0,0.0,0.0,0.25,1.0
is_morning,1080.0,0.25,0.4332133100576682,0.0,0.0,0.0,0.25,1.0
is_afternoon,1080.0,0.25,0.4332133100576682,0.0,0.0,0.0,0.25,1.0
is_evening,1080.0,0.25,0.4332133100576682,0.0,0.0,0.0,0.25,1.0
is_weekend,1080.0,0.28888888888888886,0.45345616101210645,0.0,0.0,0.0,1.0,1.0
lag_1h,1080.0,112.12314814814815,25.725409293429227,63.0,92.0,112.0,134.0,154.0
lag_2h,1080.0,112.13333333333334,25.708114210055488,64.0,92.0,112.0,134.0,154.0
lag_3h,1080.0,112.14166666666667,25.694276651451666,64.0,92.0,112.0,134.0,154.0
lag_6h,1080.0,112.11851851851851,25.724512380053028,64.0,92.0,112.0,134.0,154.0
lag_12h,1080.0,112.13981481481481,25.691292848601254,64.0,92.0,112.0,134.0,154.0
lag_24h,1080.0,112.13981481481481,25.689561245044594,64.0,92.0,112.0,134.0,154.0
lag_48h,1080.0,112.10833333333333,25.70850219799151,64.0,92.0,112.0,134.0,154.0
lag_72h,1080.0,112.2537037037037,25.465207964365472,67.0,92.0,112.0,134.0,154.0
lag_96h,1080.0,111.72407407407407,25.973997371543984,67.0,91.0,112.0,134.0,154.0
lag_120h,1080.0,111.43518518518519,26.306834637064135,67.0,89.75,112.0,134.0,154.0
lag_144h,1080.0,111.03425925925926,26.73093427956102,67.0,88.0,112.0,134.0,154.0
lag_168h,1080.0,110.66296296296296,27.12107406606967,67.0,85.0,112.0,134.0,154.0
lag_same_hour_yesterday,1080.0,112.13981481481481,25.689561245044594,64.0,92.0,112.0,134.0,154.0
lag_same_hour_last_week,1080.0,110.66296296296296,27.12107406606967,67.0,85.0,112.0,134.0,154.0
rolling_mean_3h,1080.0,112.13271604938272,25.648316595771444,64.0,92.0,112.0,134.0,154.0
rolling_std_3h,1080.0,1.452286971227124,1.6076733930631564,0.0,0.577350269186802,0.9999999999989007,1.9999999999994116,14.011899704655642
rolling_min_3h,1080.0,110.7287037037037,25.810162990767736,63.0,91.0,111.0,133.0,154.0
rolling_max_3h,1080.0,113.54814814814814,25.53635029831394,64.0,94.0,114.0,136.0,154.0
rolling_mean_6h,1080.0,112.13016975308643,25.51197040292979,64.5,91.79166666666666,112.16666666666667,133.83333333333334,154.0
rolling_std_6h,1080.0,2.5749877177677547,2.3643050133501347,0.0,0.8366600265779454,1.8708286933893088,3.449627540337806,14.04279174523649
rolling_min_6h,1080.0,108.8787037037037,25.701485699821177,63.0,88.0,108.0,130.0,154.0
rolling_max_6h,1080.0,115.51203703703703,25.246768088312262,65.0,95.0,116.0,138.0,154.0
rolling_mean_12h,1080.0,112.13473825557159,25.068359731813146,64.75,91.66666666666667,112.08333333333333,133.27083333333334,153.58333333333334
rolling_std_12h,1080.0,4.608969388947244,3.7192035615974213,0.0,1.8824345530332556,3.5328511611633853,6.367381383794446,21.520075194190582
rolling_min_12h,1080.0,105.51944444444445,25.168120376519894,63.0,86.0,103.0,124.0,153.0
rolling_max_12h,1080.0,119.04722222222222,24.421852284675683,65.0,98.0,120.0,140.0,154.0
rolling_mean_24h,1080.0,112.15698427721101,23.737903617979875,66.29166666666667,91.86458333333333,112.95833333333333,129.75,152.66666666666666
rolling_std_24h,1080.0,8.058151495000088,5.875316478853523,0.0,3.8965264500004735,6.543817560964215,10.06869520301899,31.673578574423043
rolling_min_24h,1080.0,100.04444444444445,23.915976385569724,63.0,79.0,97.0,117.0,151.0
rolling_max_24h,1080.0,124.63148148148149,22.577912259379527,70.0,106.0,129.0,145.0,154.0
rolling_mean_72h,1080.0,112.55474162983938,19.032562504813193,72.15277777777777,97.94791666666666,114.61944444444444,124.96527777777777,150.52777777777777
rolling_std_72h,1080.0,14.912680619550892,8.193497374864117,0.0,8.529538552974708,13.732701080964318,17.701799278185096,34.473070731134484
rolling_min_72h,1080.0,86.975,18.957059055784093,63.0,69.0,82.0,102.0,145.0
rolling_max_72h,1080.0,134.6,19.32669237086734,74.0,117.0,140.0,152.0,154.0
rolling_mean_168h,1080.0,114.00280704125453,14.14456258802697,74.0,104.04910714285714,117.10645979703357,124.41876257545272,136.9404761904762
rolling_std_168h,1080.0,19.993925115035985,6.64112981708624,0.0,15.058371014994037,21.16924754472919,24.73377495358118,32.567424756918264
rolling_min_168h,1080.0,73.325,7.622397913626723,63.0,69.0,69.0,77.0,101.0
rolling_max_168h,1080.0,142.76111111111112,16.21714234692808,74.0,141.0,152.0,153.0,154.0
