timestamp,aqi,pm25,pm10,source,location,collected_at,fetch_type,_id
2025-12-15T00:00,104,73.3,78.0,Open-Meteo,Karachi,2026-01-29T14:57:46.659320,full,697b756ae2ef6879eb2aa438
2025-12-15T01:00,108,74.0,78.9,Open-Meteo,Karachi,2026-01-29T14:57:46.659340,full,697b756ae2ef6879eb2aa439
2025-12-15T02:00,113,73.6,78.7,Open-Meteo,Karachi,2026-01-29T14:57:46.659345,full,697b756ae2ef6879eb2aa43a
2025-12-15T03:00,117,71.9,76.8,Open-Meteo,Karachi,2026-01-29T14:57:46.659348,full,697b756ae2ef6879eb2aa43b
2025-12-15T04:00,122,68.9,73.6,Open-Meteo,Karachi,2026-01-29T14:57:46.659351,full,697b756ae2ef6879eb2aa43c
2025-12-15T05:00,126,66.4,71.0,Open-Meteo,Karachi,2026-01-29T14:57:46.659354,full,697b756ae2ef6879eb2aa43d
2025-12-15T06:00,129,64.0,68.7,Open-Meteo,Karachi,2026-01-29T14:57:46.659357,full,697b756ae2ef6879eb2aa43e
2025-12-15T07:00,133,64.0,68.7,Open-Meteo,Karachi,2026-01-29T14:57:46.659360,full,697b756ae2ef6879eb2aa43f
2025-12-15T08:00,136,65.4,70.1,Open-Meteo,Karachi,2026-01-29T14:57:46.659363,full,697b756ae2ef6879eb2aa440
2025-12-15T09:00,138,65.7,69.6,Open-Meteo,Karachi,2026-01-29T14:57:46.659366,full,697b756ae2ef6879eb2aa441
2025-12-15T10:00,141,63.1,67.8,Open-Meteo,Karachi,2026-01-29T14:57:46.659369,full,697b756ae2ef6879eb2aa442
2025-12-15T11:00,146,57.9,64.3,Open-Meteo,Karachi,2026-01-29T14:57:46.659372,full,697b756ae2ef6879eb2aa443
2025-12-15T12:00,150,49.9,56.0,Open-Meteo,Karachi,2026-01-29T14:57:46.659374,full,697b756ae2ef6879eb2aa444
2025-12-15T13:00,151,42.3,46.9,Open-Meteo,Karachi,2026-01-29T14:57:46.659377,full,697b756ae2ef6879eb2aa445
2025-12-15T14:00,151,38.0,41.8,Open-Meteo,Karachi,2026-01-29T14:57:46.659380,full,697b756ae2ef6879eb2aa446
2025-12-15T15:00,152,35.6,39.1,Open-Meteo,Karachi,2026-01-29T14:57:46.659383,full,697b756ae2ef6879eb2aa447
2025-12-15T16:00,152,34.8,38.0,Open-Meteo,Karachi,2026-01-29T14:57:46.659385,full,697b756ae2ef6879eb2aa448
2025-12-15T17:00,152,33.3,35.2,Open-Meteo,Karachi,2026-01-29T14:57:46.659388,full,697b756ae2ef6879eb2aa449
2025-12-15T18:00,152,50.3,51.9,Open-Meteo,Karachi,2026-01-29T14:57:46.659395,full,697b756ae2ef6879eb2aa44a
2025-12-15T19:00,152,61.5,63.1,Open-Meteo,Karachi,2026-01-29T14:57:46.659399,full,697b756ae2ef6879eb2aa44b
2025-12-15T20:00,152,56.3,57.5,Open-Meteo,Karachi,2026-01-29T14:57:46.659402,full,697b756ae2ef6879eb2aa44c
2025-12-15T21:00,152,54.6,56.0,Open-Meteo,Karachi,2026-01-29T14:57:46.659404,full,697b756ae2ef6879eb2aa44d
2025-12-15T22:00,152,56.1,58.1,Open-Meteo,Karachi,2026-01-29T14:57:46.659407,full,697b756ae2ef6879eb2aa44e
2025-12-15T23:00,151,57.5,60.1,Open-Meteo,Karachi,2026-01-29T14:57:46.659410,full,697b756ae2ef6879eb2aa44f
2025-12-16T00:00,151,57.6,60.5,Open-Meteo,Karachi,2026-01-29T14:57:46.659413,full,697b756ae2ef6879eb2aa450
2025-12-16T01:00,151,56.6,59.6,Open-Meteo,Karachi,2026-01-29T14:57:46.659417,full,697b756ae2ef6879eb2aa451
2025-12-16T02:00,150,54.7,57.9,Open-Meteo,Karachi,2026-01-29T14:57:46.659419,full,697b756ae2ef6879eb2aa452
2025-12-16T03:00,149,52.7,55.9,Open-Meteo,Karachi,2026-01-29T14:57:46.659423,full,697b756ae2ef6879eb2aa453
