timestamp,aqi,pm25,pm10,source,location,collected_at,_id
2025-12-14T00:00,74,32.9,34.3,Open-Meteo,Karachi,2026-01-28T15:11:01.200156,697a2705c51a9855a21b096c
2025-12-14T01:00,74,32.5,34.0,Open-Meteo,Karachi,2026-01-28T15:11:01.200169,697a2705c51a9855a21b096d
2025-12-14T02:00,75,30.0,31.7,Open-Meteo,Karachi,2026-01-28T15:11:01.200171,697a2705c51a9855a21b096e
2025-12-14T03:00,76,28.2,29.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200173,697a2705c51a9855a21b096f
2025-12-14T04:00,76,28.3,30.2,Open-Meteo,Karachi,2026-01-28T15:11:01.200175,697a2705c51a9855a21b0970
2025-12-14T05:00,77,32.2,33.6,Open-Meteo,Karachi,2026-01-28T15:11:01.200177,697a2705c51a9855a21b0971
2025-12-14T06:00,78,31.8,32.5,Open-Meteo,Karachi,2026-01-28T15:11:01.200179,697a2705c51a9855a21b0972
2025-12-14T07:00,78,36.3,37.1,Open-Meteo,Karachi,2026-01-28T15:11:01.200180,697a2705c51a9855a21b0973
2025-12-14T08:00,79,45.2,45.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200184,697a2705c51a9855a21b0974
2025-12-14T09:00,78,34.1,34.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200186,697a2705c51a9855a21b0975
2025-12-14T10:00,78,20.4,22.5,Open-Meteo,Karachi,2026-01-28T15:11:01.200187,697a2705c51a9855a21b0976
2025-12-14T11:00,76,15.4,17.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200189,697a2705c51a9855a21b0977
2025-12-14T12:00,76,14.6,16.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200190,697a2705c51a9855a21b0978
2025-12-14T13:00,76,15.9,17.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200192,697a2705c51a9855a21b0979
2025-12-14T14:00,77,17.5,19.4,Open-Meteo,Karachi,2026-01-28T15:11:01.200194,697a2705c51a9855a21b097a
2025-12-14T15:00,77,19.0,20.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200195,697a2705c51a9855a21b097b
2025-12-14T16:00,78,20.4,22.2,Open-Meteo,Karachi,2026-01-28T15:11:01.200197,697a2705c51a9855a21b097c
2025-12-14T17:00,78,44.5,55.1,Open-Meteo,Karachi,2026-01-28T15:11:01.200198,697a2705c51a9855a21b097d
2025-12-14T18:00,84,52.0,61.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200200,697a2705c51a9855a21b097e
2025-12-14T19:00,92,59.5,68.5,Open-Meteo,Karachi,2026-01-28T15:11:01.200201,697a2705c51a9855a21b097f
2025-12-14T20:00,88,62.4,70.8,Open-Meteo,Karachi,2026-01-28T15:11:01.200203,697a2705c51a9855a21b0980
2025-12-14T21:00,92,69.4,77.1,Open-Meteo,Karachi,2026-01-28T15:11:01.200204,697a2705c51a9855a21b0981
2025-12-14T22:00,96,75.4,81.5,Open-Meteo,Karachi,2026-01-28T15:11:01.200206,697a2705c51a9855a21b0982
2025-12-14T23:00,100,73.1,77.8,Open-Meteo,Karachi,2026-01-28T15:11:01.200208,697a2705c51a9855a21b0983
2025-12-15T00:00,104,73.3,78.0,Open-Meteo,Karachi,2026-01-28T15:11:01.200209,697a2705c51a9855a21b0984
2025-12-15T01:00,108,74.0,78.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200211,697a2705c51a9855a21b0985
2025-12-15T02:00,113,73.6,78.7,Open-Meteo,Karachi,2026-01-28T15:11:01.200212,697a2705c51a9855a21b0986
2025-12-15T03:00,117,71.9,76.8,Open-Meteo,Karachi,2026-01-28T15:11:01.200214,697a2705c51a9855a21b0987
2025-12-15T04:00,122,68.9,73.6,Open-Meteo,Karachi,2026-01-28T15:11:01.200217,697a2705c51a9855a21b0988
2025-12-15T05:00,126,66.4,71.0,Open-Meteo,Karachi,2026-01-28T15:11:01.200219,697a2705c51a9855a21b0989
2025-12-15T06:00,129,64.0,68.7,Open-Meteo,Karachi,2026-01-28T15:11:01.200220,697a2705c51a9855a21b098a
2025-12-15T07:00,133,64.0,68.7,Open-Meteo,Karachi,2026-01-28T15:11:01.200222,697a2705c51a9855a21b098b
2025-12-15T08:00,136,65.4,70.1,Open-Meteo,Karachi,2026-01-28T15:11:01.200224,697a2705c51a9855a21b098c
2025-12-15T09:00,138,65.7,69.6,Open-Meteo,Karachi,2026-01-28T15:11:01.200225,697a2705c51a9855a21b098d
2025-12-15T10:00,141,63.1,67.8,Open-Meteo,Karachi,2026-01-28T15:11:01.200227,697a2705c51a9855a21b098e
2025-12-15T11:00,146,57.9,64.3,Open-Meteo,Karachi,2026-01-28T15:11:01.200228,697a2705c51a9855a21b098f
2025-12-15T12:00,150,49.9,56.0,Open-Meteo,Karachi,2026-01-28T15:11:01.200230,697a2705c51a9855a21b0990
2025-12-15T13:00,151,42.3,46.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200231,697a2705c51a9855a21b0991
2025-12-15T14:00,151,38.0,41.8,Open-Meteo,Karachi,2026-01-28T15:11:01.200233,697a2705c51a9855a21b0992
2025-12-15T15:00,152,35.6,39.1,Open-Meteo,Karachi,2026-01-28T15:11:01.200235,697a2705c51a9855a21b0993
2025-12-15T16:00,152,34.8,38.0,Open-Meteo,Karachi,2026-01-28T15:11:01.200236,697a2705c51a9855a21b0994
2025-12-15T17:00,152,33.3,35.2,Open-Meteo,Karachi,2026-01-28T15:11:01.200238,697a2705c51a9855a21b0995
2025-12-15T18:00,152,50.3,51.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200241,697a2705c51a9855a21b0996
2025-12-15T19:00,152,61.5,63.1,Open-Meteo,Karachi,2026-01-28T15:11:01.200243,697a2705c51a9855a21b0997
2025-12-15T20:00,152,56.3,57.5,Open-Meteo,Karachi,2026-01-28T15:11:01.200244,697a2705c51a9855a21b0998
2025-12-15T21:00,152,54.6,56.0,Open-Meteo,Karachi,2026-01-28T15:11:01.200246,697a2705c51a9855a21b0999
2025-12-15T22:00,152,56.1,58.1,Open-Meteo,Karachi,2026-01-28T15:11:01.200247,697a2705c51a9855a21b099a
2025-12-15T23:00,151,57.5,60.1,Open-Meteo,Karachi,2026-01-28T15:11:01.200251,697a2705c51a9855a21b099b
2025-12-16T00:00,151,57.6,60.5,Open-Meteo,Karachi,2026-01-28T15:11:01.200252,697a2705c51a9855a21b099c
2025-12-16T01:00,151,56.6,59.6,Open-Meteo,Karachi,2026-01-28T15:11:01.200254,697a2705c51a9855a21b099d
2025-12-16T02:00,150,54.7,57.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200255,697a2705c51a9855a21b099e
2025-12-16T03:00,149,52.7,55.9,Open-Meteo,Karachi,2026-01-28T15:11:01.200257,697a2705c51a9855a21b099f
2025-12-16T04:00,147,51.0,54.1,Open-Meteo,Karachi,2026-01-28T15:11:01.200258,697a2705c51a9855a21b09a0
2025-12-16T05:00,146,50.1,53.2,Open-Meteo,Karachi,2026-01-28T15:11:01.200263,697a2705c51a9855a21b09a1
2025-12-16T06:00,144,49.7,52.7,Open-Meteo,Karachi,2026-01-28T15:11:01.200264,697a2705c51a9855a21b09a2
2025-12-16T07:00,142,51.7,54.5,Open-Meteo,Karachi,2026-01-28T15:11:01.200266,697a2705c51a9855a21b09a3
2025-12-16T08:00,141,54.8,57.6,Open-Meteo,Karachi,2026-01-28T15:11:01.200267,697a2705c51a9855a21b09a4
2025-12-16T09:00,140,57.5,59.8,Open-Meteo,Karachi,2026-01-28T15:11:01.200269,697a2705c51a9855a21b09a5
2025-12-16T10:00,139,58.3,61.2,Open-Meteo,Karachi,2026-01-28T15:11:01.200271,697a2705c51a9855a21b09a6
2025-12-16T11:00,139,53.9,57.4,Open-Meteo,Karachi,2026-01-28T15:11:01.200272,697a2705c51a9855a21b09a7
2025-12-16T12:00,138,44.0,47.0,Open-Meteo,Karachi,2026-01-28T15:11:01.200274,697a2705c51a9855a21b09a8
2025-12-16T13:00,138,35.7,38.0,Open-Meteo,Karachi,2026-01-28T15:11:01.200275,697a2705c51a9855a21b09a9
2025-12-16T14:00,137,31.5,33.3,Open-Meteo,Karachi,2026-01-28T15:11:01.200277,697a2705c51a9855a21b09aa
