,aqi,pm10,hour,day_of_week,day_of_month,month,hour_sin,hour_cos,day_sin,day_cos,is_night,is_morning,is_afternoon,is_evening,is_weekend,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,lag_48h,lag_72h,lag_96h,lag_120h,lag_144h,lag_168h,lag_same_hour_yesterday,lag_same_hour_last_week,rolling_mean_3h,rolling_std_3h,rolling_min_3h,rolling_max_3h,rolling_mean_6h,rolling_std_6h,rolling_min_6h,rolling_max_6h,rolling_mean_12h,rolling_std_12h,rolling_min_12h,rolling_max_12h,rolling_mean_24h,rolling_std_24h,rolling_min_24h,rolling_max_24h,rolling_mean_72h,rolling_std_72h,rolling_min_72h,rolling_max_72h,rolling_mean_168h,rolling_std_168h,rolling_min_168h,rolling_max_168h,rolling_trend_24h,diff_1h,diff_3h,diff_24h,diff_week,roc_1h,roc_24h,weekly_seasonal,daily_seasonal,hourly_seasonal,target_24h,target_72h,aqi_hour_interaction
aqi,1.0,0.2980180367591636,0.001676638531839482,-0.10087788719189993,-0.24682301518010846,0.30102194693307094,-0.003350684202932956,0.007061102611014202,0.06826668087922061,0.07671335593494222,0.0018491936879931662,-0.0023062977456997174,-0.010700390441760124,0.011157494499466278,-0.04831736522134606,0.9959597137792748,0.9867950595784434,0.974968774286766,0.9248404647880344,0.7665146383542021,0.4453841070642778,0.27950766013604667,0.10436532970663792,0.029971606479263956,-0.08379226579956447,-0.08293655072747773,-0.07624394353730093,0.4453841070642778,-0.07624394353730093,0.9882549666162422,-0.08434773007649941,0.9864070441175098,0.9870779375720244,0.9722040433726264,-0.069578231270744,0.9654514853484664,0.9672701981928209,0.9234381512124746,-0.02795268819515231,0.9006293921398536,0.9101687884104996,0.8009893861547992,0.03287028556045648,0.7516700091378293,0.7937531142282424,0.589245573191013,0.28506534488567536,0.3744116218527254,0.6338661886836776,0.4307494961522524,0.5312935650762316,-0.13072233571096464,0.5481416703545564,0.5073391967993717,0.051644556684653224,0.11867217450014142,0.4967376592416552,0.6167917999085247,0.04611564566942371,0.5114502037595838,0.4307494961522524,0.8009893861547992,0.023750747122501404,0.4421484914888659,0.2513869944505249,0.3503284789913041
pm10,0.2980180367591636,1.0,0.030308502788489133,-0.018073676190570508,-0.21433763271452247,-0.11119180143077657,0.036684753311190595,0.03560220211713611,-0.10915726610704801,-0.0049855039284334365,-0.048272855977194336,0.10433376466969466,-0.1462868609470001,0.09022595225449954,-0.022964159314766974,0.27381425277823296,0.2498254345156036,0.22784304818604173,0.1797762922823487,0.13721906899279923,0.09561393010475085,0.04272274056928875,0.002499117387364598,-0.07166272099862625,-0.06505966648013471,-0.05311849349493328,0.012454861567829628,0.09561393010475085,0.012454861567829628,0.2510988296542638,-0.0029492181613751333,0.24975340270521285,0.25240423886345,0.2239779446446851,-0.032102382508782314,0.22666291668745367,0.22447610790927008,0.19101398223038205,-0.06642732054496196,0.20978112307170868,0.18546142871393764,0.16294424493870965,-0.099225533752339,0.19718371669558096,0.13355908220767757,0.11024682067268397,0.03303149021230887,0.06022414508629885,0.062154378426246916,0.012308848297048867,0.04513185775384146,-0.01864618555293086,0.04483183483593301,0.12179860158141942,0.2711673614073988,0.31511785437443335,0.1772912577267411,0.15358705163567363,0.24365234402876543,0.17387443637328517,0.012308848297048867,0.16294424493870965,0.033520354198700975,0.3282876403631055,-0.03234806787075519,0.13465909058022554
hour,0.001676638531839482,0.030308502788489133,1.0,-2.266993623418518e-17,8.946283246567259e-17,1.9577075772770168e-16,-0.7759122353393899,-0.10215078369105002,-7.776793883917783e-18,9.340993392666731e-17,-0.7506518906054701,-0.25021729686848965,0.25021729686848987,0.7506518906054686,4.27254469792145e-17,0.002842902554450753,0.004003042672996807,0.005716131795090599,-0.014878288731124456,0.0002890953619109635,0.0033209137988317603,-0.0014965635886846525,0.0010878204498208257,0.006620616560414777,0.003606714293074488,0.002760994103955326,0.004899778687794484,0.0033209137988317603,0.004899778687794484,0.004196732633285395,-0.020157916880193034,0.0065304261914782245,0.002819405541819871,-0.000983757076533726,-0.11889611185513545,0.017216481441200908,-0.014102352730717352,-0.0041454129623809755,-0.09392108895446033,0.019351963750173208,-0.018425436856117947,-0.00029312374926525044,0.0962134065604679,-0.030798134401795362,0.015078822417850758,-0.000924224612503017,0.007772659350572587,-0.02126621465275562,0.008627691526896165,0.0041182044567877425,0.010232956200407964,-0.009840521191514387,0.02095185465550595,-0.00904745417913775,-0.0129585955019622,-0.01926448936829827,-0.006159575061030593,-0.011274894444683888,0.0036498918988213374,-0.0032602066237242414,0.0041182044567877425,-0.00029312374926525044,0.23385175419896462,0.003900417860090697,-0.005644448657076326,0.9145378429754103
day_of_week,-0.10087788719189993,-0.018073676190570508,-2.266993623418518e-17,1.0,-0.09858874460667086,-0.04857755092486182,-1.0615092934591695e-17,2.533468847055885e-17,-0.7314236518900875,-0.35478449541548707,-9.244999559812454e-19,-6.529280939117549e-18,-1.981896780634796e-17,-1.0631749493784328e-17,0.8013760423610307,-0.09730258048199103,-0.09350058837501667,-0.08982336609546492,-0.07669556614128432,-0.06222632307023145,-0.04829342164414467,-0.041741894363591145,-0.0018384488976962469,0.22388060379495678,0.23519177082157616,-0.03318770242198854,-0.10584743713523499,-0.04829342164414467,-0.10584743713523499,-0.0937659840057415,-0.08491179489277163,-0.08784456787440152,-0.09958749060752084,-0.0879518543371872,-0.10747516947790532,-0.07443977905312607,-0.10299333409848498,-0.07909432664106632,-0.15032906642001723,-0.047552079580066756,-0.11602394168916604,-0.06984580556838844,-0.17943160321909898,-0.015628058495595416,-0.14822703914055146,-0.08341328300836345,-0.09465077566257755,-0.0748620730081599,-0.1435894531222495,-0.012923401319858181,-0.0807257535632439,-0.04735043060366659,-0.11045729470295068,-0.02468132018121097,-0.04043766711040336,-0.04897749584173047,-0.021277030919186528,0.04977269210873881,-0.03288930659529315,-0.10032955585009147,-0.012923401319858181,-0.06984580556838844,-1.243263083872548e-15,-0.04697326072443938,0.11889665218832506,-0.04106122983588226
day_of_month,-0.24682301518010846,-0.21433763271452247,8.946283246567259e-17,-0.09858874460667086,1.0,0.5184683455934319,2.374832626784873e-17,2.6065236147638855e-18,0.08274716642615233,0.13604495833010663,-1.1480551714415486e-16,1.9153958576058805e-17,5.888068747455113e-17,-2.8376234927494526e-18,-0.02563895527516664,-0.2380364847832066,-0.2293466103791303,-0.22086313161223323,-0.19777747172306273,-0.1606418164528088,-0.13285235232953257,-0.1264797884067539,-0.11725183869814745,-0.1159017854325283,-0.10810523866309633,-0.07734629373382958,-0.07305516499577225,-0.13285235232953257,-0.07305516499577225,-0.2299640626940909,0.03563094122822503,-0.23072869954546713,-0.22844664994745048,-0.21911072980919247,0.034267572037710456,-0.22181269278193494,-0.21597917112335155,-0.20126055294222192,0.03356771148511404,-0.20696252472956436,-0.19604393803800987,-0.1824334482055985,-0.0021879796757762935,-0.1774557002669003,-0.18888997002287436,-0.19864533852362304,-0.23921685146967156,0.0036858139174256632,-0.23751547357196087,-0.2269041177542502,-0.3931036271390913,0.3091012975813007,-0.22153486814125173,-0.09762388759211894,-0.09937066887082713,-0.11823825178410478,-0.11534471145638069,-0.11557938244255297,-0.10359934890166617,-0.1163789286964199,-0.2269041177542502,-0.1824334482055985,-1.0194211742121401e-14,-0.36620816635152476,-0.14796010264897844,-0.09777209971581244
month,0.30102194693307094,-0.11119180143077657,1.9577075772770168e-16,-0.04857755092486182,0.5184683455934319,1.0,-2.0610879522966387e-17,-2.374028007880946e-18,0.06293090316915523,0.07194778655582328,-6.040714869099868e-16,-5.06623548677425e-17,3.4362292866816653e-17,9.868145643803756e-17,-0.020016019225635787,0.30135066696929413,0.3015975319576293,0.30178939332789273,0.3022432496234147,0.2970256348837749,0.2628923244489451,0.17014068921047312,0.07005198140652522,0.0020529675988428743,-0.07245422514812448,-0.12547646976051754,-0.1912034369285359,0.2628923244489451,-0.1912034369285359,0.302295774740321,0.08950531071608755,0.2947492132601772,0.30968327386184424,0.30425848705966224,0.12274611174619741,0.2847537166042161,0.32301694631723277,0.3087156480545719,0.16590693990469071,0.26563428120537985,0.34916539947813696,0.3157922705248608,0.2023443645024364,0.22476566519103003,0.38032828691013354,0.3050436975395963,0.17360112222446905,0.14740644697615274,0.33371098238580754,0.2861441766847871,0.14178079170301933,0.1539543391011159,0.21188498326175775,0.04698252144167335,-0.001634848787428482,-3.522964559907485e-17,0.05960942300081613,0.4026394914343473,-0.004050430121638958,0.06429913932108458,0.2861441766847871,0.3157922705248608,-9.06228375064335e-14,0.31625973378551164,0.42984184945706577,0.10211821601773424
hour_sin,-0.003350684202932956,0.036684753311190595,-0.7759122353393899,-1.0615092934591695e-17,2.374832626784873e-17,-2.0610879522966387e-17,1.0,-3.238150488490041e-17,7.033799493427813e-18,-6.094164123920389e-18,0.44878422347333874,0.5848669869612939,-0.4487842234733388,-0.5848669869612936,-1.274983174590121e-17,-0.0014098150966648502,0.0007614684738314239,0.0030285189810319623,0.008055812702882302,0.003553806440859106,-0.003293344974868289,0.0012731918445495097,8.354529476123585e-06,-0.006023446790759297,-0.002480865488075987,-0.0020267996544964056,-0.003919025788308264,-0.003293344974868289,-0.003919025788308264,0.0007943790049199674,0.0664473038692502,-0.004398171598594298,0.005197034365151507,0.0038197239310908894,0.16572805118340403,-0.021431022635533394,0.021780881047689764,0.005599258656616919,0.1509759009771996,-0.030126883651156823,0.03201056075056584,0.0005001355031118873,-0.10504493862728004,0.03493480119043759,-0.014512136892138353,0.0012223608419926351,-0.004365148822425496,0.022122215029524286,-0.005241764785430021,-0.0026858767706008048,-0.005995961437970332,0.001067360218135839,-0.01586271753933397,0.013746313907764075,-0.021606613980611436,-0.028275113520913327,0.002681316272884847,0.006715118729093383,-0.045990219238189085,0.0005067151035943877,-0.0026858767706008048,0.0005001355031118873,-0.2844878698639503,-0.004805413622223642,-0.00025850888135443297,-0.7113352031149368
hour_cos,0.007061102611014202,0.03560220211713611,-0.10215078369105002,2.533468847055885e-17,2.6065236147638855e-18,-2.374028007880946e-18,-3.238150488490041e-17,1.0,-4.3444055694701206e-18,4.9163004697172895e-18,0.5848669869612935,-0.44878422347333996,-0.5848669869612936,0.4487842234733392,1.603752420868077e-19,0.008201611875708401,0.00885316146434783,0.008817793345575442,0.002877417672426062,-0.007240583347814512,0.0060676134621379515,0.0051656819289365805,0.0027307669524297704,0.005257729310650603,0.0028705711072872907,0.004863311898440692,0.0042573803044995825,0.0060676134621379515,0.0042573803044995825,0.008644553436308539,0.16357166775364343,-0.0012527663358343445,0.018728747140697517,0.00696575349471783,0.08840460252677491,0.00022371119481649903,0.019385930162298802,0.0016428855063313455,-0.12231880566173631,0.0374530016192765,-0.012379843342587751,-0.000370789747281722,-0.06879897591863232,0.014671150222751284,-0.0011186430992051757,-0.0012091804021567918,-0.01842334315653178,0.02446167935006342,-0.00738900692142689,-0.0021965807840143973,-0.008839228673488414,0.039813146419050253,-0.011395187578824522,0.004343153635026271,-0.012636034030182026,-0.006693271903551141,-0.0014055472397670277,0.002160688056564098,-0.012897528287687393,-0.018330515587426495,-0.0021965807840143973,-0.000370789747281722,0.27226409557518144,0.0022397771784808842,0.010624783141475781,-0.09077899105751826
day_sin,0.06826668087922061,-0.10915726610704801,-7.776793883917783e-18,-0.7314236518900875,0.08274716642615233,0.06293090316915523,7.033799493427813e-18,-4.3444055694701206e-18,1.0,8.584930406445955e-17,1.0641576880907165e-17,4.645132765475352e-18,1.5540080524499358e-17,2.3647948624238154e-17,-0.7899524624504745,0.07497981837782304,0.08157803798739291,0.08793413954585722,0.10452401444343752,0.13706200388052073,0.1872008671444076,0.16208871923051718,0.024501697823428793,-0.16500887351145171,-0.21971004818116044,-0.11807929720819449,0.06544192058236141,0.1872008671444076,0.06544192058236141,0.0816883779910338,0.07262490773101381,0.07639381392044542,0.08672858803824378,0.0909248823605365,0.10667763289568132,0.07545956549576749,0.10471759182168411,0.1095011028445483,0.16231813132346395,0.07060554843442551,0.14579525223003822,0.1483245496554356,0.20589515017088703,0.07436580086132312,0.22105901547157106,0.1947023379234503,0.13907409459579345,0.08483592811553674,0.23042915120293067,0.07671105266704678,0.06631999848585596,0.12091903181639654,0.09348225242999338,-0.11354075950854137,-0.07419753375872162,-0.08814613599351385,-0.13252179179566234,-0.02348233328504045,-0.06656544493141962,-0.05671980304761682,0.07671105266704678,0.1483245496554356,7.716988160957291e-16,-0.08349648992571831,-0.04102343077358123,0.0155689767407471
day_cos,0.07671335593494222,-0.0049855039284334365,9.340993392666731e-17,-0.35478449541548707,0.13604495833010663,0.07194778655582328,-6.094164123920389e-18,4.9163004697172895e-18,8.584930406445955e-17,1.0,-5.1347573123817656e-17,-2.6091926408194006e-17,2.910253330144716e-17,2.8768021424419034e-17,0.1644326407870726,0.07400725616429056,0.07090951725704248,0.06756549182872985,0.05775123164847216,0.02662348685576338,-0.04473710804605492,-0.21153647138171594,-0.3016854299150459,-0.23421058592524255,-0.05184092107264707,0.10422717822434317,0.12321504912998532,-0.04473710804605492,0.12321504912998532,0.07099703590648701,-0.008801370360240516,0.0710874681572667,0.0707102492343553,0.0663751028269446,-0.010404485834258147,0.06727648592332229,0.0651756397472102,0.054695151471816694,-0.01649603179462416,0.05857134411406334,0.05234490074006909,0.02316304342080998,-0.06673581282664048,0.051515151807302914,0.012239707435147138,-0.1456075760927362,-0.14910494863992713,0.0019995435898664655,-0.22330207793407236,-0.1716540377686832,-0.06372956983226506,-0.03926696168881795,-0.07116497213610144,0.11520647221726442,0.03060912477693486,0.04211247987519565,0.12935990298963898,-0.030829186319384274,0.030221064162314862,0.1139363378111062,-0.1716540377686832,0.02316304342080998,-5.1337620403087756e-15,0.07046829719591371,-0.10472790070596374,0.029093009422807726
