timestamp,aqi,pm2_5,pm10,source,location,collected_at,_id
2025-12-09T00:00,88,27.3,28.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075598,69732e7e6c7538a09bee7ab6
2025-12-09T01:00,87,27.1,28.2,Open-Meteo,Karachi,2026-01-23T08:17:02.075616,69732e7e6c7538a09bee7ab7
2025-12-09T02:00,86,26.3,27.6,Open-Meteo,Karachi,2026-01-23T08:17:02.075620,69732e7e6c7538a09bee7ab8
2025-12-09T03:00,85,25.2,26.9,Open-Meteo,Karachi,2026-01-23T08:17:02.075622,69732e7e6c7538a09bee7ab9
2025-12-09T04:00,84,24.2,26.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075625,69732e7e6c7538a09bee7aba
2025-12-09T05:00,83,23.3,25.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075629,69732e7e6c7538a09bee7abb
2025-12-09T06:00,82,23.3,25.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075632,69732e7e6c7538a09bee7abc
2025-12-09T07:00,81,25.9,28.2,Open-Meteo,Karachi,2026-01-23T08:17:02.075635,69732e7e6c7538a09bee7abd
2025-12-09T08:00,80,31.5,34.0,Open-Meteo,Karachi,2026-01-23T08:17:02.075637,69732e7e6c7538a09bee7abe
2025-12-09T09:00,79,36.8,38.9,Open-Meteo,Karachi,2026-01-23T08:17:02.075640,69732e7e6c7538a09bee7abf
2025-12-09T10:00,78,38.4,41.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075643,69732e7e6c7538a09bee7ac0
2025-12-09T11:00,78,31.1,35.4,Open-Meteo,Karachi,2026-01-23T08:17:02.075646,69732e7e6c7538a09bee7ac1
2025-12-09T12:00,78,23.5,26.7,Open-Meteo,Karachi,2026-01-23T08:17:02.075649,69732e7e6c7538a09bee7ac2
2025-12-09T13:00,78,18.6,20.4,Open-Meteo,Karachi,2026-01-23T08:17:02.075651,69732e7e6c7538a09bee7ac3
2025-12-09T14:00,78,16.8,18.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075654,69732e7e6c7538a09bee7ac4
2025-12-09T15:00,78,16.2,17.6,Open-Meteo,Karachi,2026-01-23T08:17:02.075656,69732e7e6c7538a09bee7ac5
2025-12-09T16:00,78,16.5,17.8,Open-Meteo,Karachi,2026-01-23T08:17:02.075658,69732e7e6c7538a09bee7ac6
2025-12-09T17:00,78,12.8,12.8,Open-Meteo,Karachi,2026-01-23T08:17:02.075661,69732e7e6c7538a09bee7ac7
2025-12-09T18:00,84,27.5,27.5,Open-Meteo,Karachi,2026-01-23T08:17:02.075667,69732e7e6c7538a09bee7ac8
