,aqi,pm25,pm10,hour,day_of_week,month,hour_sin,hour_cos,day_sin,day_cos,aqi_pm25_ratio,aqi_pm10_ratio,lag_1h,lag_3h,lag_6h,lag_12h,lag_24h,rolling_mean_6h,rolling_std_6h,rolling_max_6h,rolling_mean_12h,rolling_std_12h,rolling_max_12h,rolling_mean_24h,rolling_std_24h,rolling_max_24h,rolling_mean_72h,rolling_std_72h,rolling_max_72h,target_24h
aqi,1.0,0.5109902349787331,0.43896889204726364,0.001008270520234192,-0.1163719827468586,0.028239009496452177,-0.0012513532391241794,0.004302104505799959,0.018692616353287516,0.21857491302561657,0.0020230536205504,0.029114869508723135,0.9963391493817071,0.9768281026795417,0.9259687464928279,0.767530744930368,0.4453915716407488,0.9855761835518141,-0.006177410211450304,0.9810050979978086,0.9440787041999795,0.04231691618502405,0.9303392408833193,0.8267893319225825,0.1122462447776647,0.8176619161129611,0.577678359445945,0.3481561915992441,0.6560257342666321,0.4397214870903376
pm25,0.5109902349787331,1.0,0.804794654249408,0.0028048179827895254,-0.09196010736842501,0.006736002658217038,0.1003980596374434,0.23729665408625716,-0.060778601909406524,0.16468312746325697,-0.753542915154069,-0.622813626155473,0.47715840004660104,0.412262131284396,0.3348000845045952,0.2553884178124827,0.20734294764310263,0.4341432591926911,0.16769986620875538,0.4593687572800761,0.3713938193974969,0.10323961568579743,0.4137827241280527,0.3214799250716677,0.06088925957553546,0.3850688110019714,0.25348969088556744,0.30034367113547933,0.3496366315879324,0.5373994218351235
pm10,0.43896889204726364,0.804794654249408,1.0,0.04316694111431877,-0.09117434711124325,-0.2667956450577088,0.02959394525775433,0.11056847803655491,-0.09743204981869961,0.22622641167348148,-0.6138246992305508,-0.772012111583812,0.412550551948757,0.3636707167778818,0.30877650318263317,0.253222472448633,0.1953164313647302,0.3811695604428268,0.06925416358735421,0.39300221759258136,0.33762519797229046,0.03873322279951804,0.35784932209285963,0.30228152550736476,0.006152018626786034,0.32325305828253353,0.25341838996652416,0.22514636051828646,0.3028137039215655,0.45796940972412137
hour,0.001008270520234192,0.0028048179827895254,0.04316694111431877,1.0,-7.155525914665869e-17,2.278154267579141e-16,-0.7759122353393899,-0.10215078369105002,1.0651876533618856e-16,-3.886480321248088e-17,0.060117982799252734,0.021354415486926064,0.002136110385103002,0.005369789622000298,-0.009757304283296152,0.004086793331688788,0.00016974547749960809,0.0022680164388952143,-0.13424733109244139,-0.011699985136829702,-0.0007342175252297928,-0.1350212291999467,-0.021294982574872518,0.0015189677590552045,0.08703964036463736,0.01554299630950466,0.002190809408568033,0.005118529523428086,0.010602172625184071,0.007199417990985412
day_of_week,-0.1163719827468586,-0.09196010736842501,-0.09117434711124325,-7.155525914665869e-17,1.0,-0.033272892062696506,3.765060043748682e-18,6.370926724274251e-18,-0.735378292938251,-0.35577824317052353,0.028487426685135854,0.03388430278799522,-0.1137165936841195,-0.10844005850432166,-0.10150234881036328,-0.0964768742515365,-0.09575302151080303,-0.11063034873086547,-0.11361053616320498,-0.12534226866935827,-0.1063907502784055,-0.17212951495907894,-0.1443998520424054,-0.1069352751930425,-0.2214826964545683,-0.18717833162840233,-0.08087748762809956,-0.04861679447479773,-0.11508126720279226,-0.043396591054729663
month,0.028239009496452177,0.006736002658217038,-0.2667956450577088,2.278154267579141e-16,-0.033272892062696506,1.0,-1.6973877768088098e-17,-5.287812388812493e-18,0.03992697293863911,0.04151175586781008,0.03945137671706656,0.2432688972550799,0.029785884576168986,0.03273121425137274,0.036299586479642855,0.03897244317060188,0.018646462480610762,0.032052187789461346,0.06206508016588684,0.0414569917152495,0.035430716944572345,0.07196201710982573,0.05275755833775983,0.034924430785260294,0.07652204398129146,0.050615362823509986,-0.03422394572326229,-0.048581032510095275,-0.06028504361608303,0.03677280823740962
hour_sin,-0.0012513532391241794,0.1003980596374434,0.02959394525775433,-0.7759122353393899,3.765060043748682e-18,-1.6973877768088098e-17,1.0,-3.238150488490041e-17,-1.6190654664142476e-17,1.1889532869990508e-17,-0.19940939177205744,-0.13229628208492214,-9.524131495544617e-05,0.0020641215522861794,0.0038211972807862937,-0.0005280478264465804,-0.0008081484430743977,0.0013214829314090303,0.17426064537979044,0.01940059450449815,0.0017246116222432127,0.1870717906655946,0.03330074928120773,-0.001498806748685287,-0.09117313356844929,-0.016625507232258165,-0.0017003811818825942,-0.0017344061914607034,-0.009342099575652596,-0.006998360564639994
hour_cos,0.004302104505799959,0.23729665408625716,0.11056847803655491,-0.10215078369105002,6.370926724274251e-18,-5.287812388812493e-18,-3.238150488490041e-17,1.0,4.0988999149727795e-19,4.135489693909744e-18,-0.24142923551986212,-0.14629968565338483,0.004374915334358656,0.0035285257178054343,0.0004905405229419879,-0.0053431180761343575,0.006448749761838048,0.0034051345867133066,0.11501482414785186,0.01810295984643857,0.0004651484728420596,-0.1007991253048039,-0.012096573135132755,0.0007050192497789847,-0.09237974237537147,-0.004388671535539931,9.605886652562692e-05,-0.018738250406821325,-0.008640979859661571,0.0047981999848549575
day_sin,0.018692616353287516,-0.060778601909406524,-0.09743204981869961,1.0651876533618856e-16,-0.735378292938251,0.03992697293863911,-1.6190654664142476e-17,4.0988999149727795e-19,1.0,-0.004279869573395864,0.09691999949225558,0.08603792291578492,0.025766373029154483,0.03933833105263906,0.05707731446399866,0.09240479413844652,0.14612457903933648,0.035751545811747255,0.10499773008601215,0.04852383872980374,0.05468913372379587,0.1530138601775523,0.08578562371152736,0.09273320253647041,0.19240127162293655,0.14937088042276914,0.11371318341005074,0.0606079736965942,0.09619760209000656,-0.17198985653786386
day_cos,0.21857491302561657,0.16468312746325697,0.22622641167348148,-3.886480321248088e-17,-0.35577824317052353,0.04151175586781008,1.1889532869990508e-17,4.135489693909744e-18,-0.004279869573395864,1.0,-0.08282467428343812,-0.11723289726582449,0.21514592455406456,0.20739976306188376,0.197301475487404,0.16328203565723906,0.07914037443809678,0.2109384712400337,0.025273964403651743,0.21363385523920306,0.20128535805049333,0.034603489457092136,0.20610771549424356,0.17260380244048595,-0.010271439690509209,0.16621963700304432,-0.006940398204803357,-0.10849828982522805,-0.06235898287227031,0.21809578331975604
